registration_number,name,nace_as_published,turnover_2024_eur,employees_annual_report,period_start,period_end,statement_id,register_terminated_date,register_closed_flag
40103609431,"Sabiedrība ar ierobežotu atbildību ""Team T""",4100,1644490,15,2024-01-01,2024-12-31,2064425,, 
40103759626,"Sabiedrība ar ierobežotu atbildību ""Tieši laikā""",4100,1581397,37,2024-01-01,2024-12-31,2034254,, 
40103890601,"Sabiedrība ar ierobežotu atbildību ""Universbūve""",4100,1178708,11,2024-01-01,2024-12-31,1978291,, 
44103037968,"Sabiedrība ar ierobežotu atbildību ""VIT BŪVE""",4100,1746392,31,2024-01-01,2024-12-31,1983634,, 
44103055272,"Sabiedrība ar ierobežotu atbildību ""Warss+""",4100,1896101,33,2024-01-01,2024-12-31,1989058,, 
43603022679,"Sabiedrība ar ierobežotu atbildību ""ZEMGALES BŪVSERVISS""",4100,1262608,13,2024-01-01,2024-12-31,1974648,, 
40103325823,"Sabiedrība ar ierobežotu atbildību ""ZOLID""",4100,1000264,32,2024-01-01,2024-12-31,2089392,, 
40103216891,"Sabiedrība ar ierobežotu atbildību ""ĒKA OST""",4100,1167078,16,2024-01-01,2024-12-31,2049069,, 
40003018837,"Sabiedrība ar ierobežotu atbildību Specializētā celtniecības-montāžas sabiedrība ""Dzirnakmens""",4100,1314527,36,2024-01-01,2024-12-31,2022420,, 
40003150841,"Sabiedrība ar ierobežotu atbildību celtniecības firma ""M UN V""",4100,1483052,33,2024-01-01,2024-12-31,2072384,, 
40103007007,"Sabiedrība ar ierobežotu atbildību ražošanas komercfirma ""TITĀNS""",4100,1487201,23,2024-01-01,2024-12-31,2050746,, 
40002001373,"Sabiedrība ar ierobežotu atbildību Āboltiņa būvuzņēmums ""AG""",4100,1301488,27,2024-01-01,2024-12-31,2065981,, 
40103120538,"sabiedrība ar ierobežotu atbildību ""Akers""",4100,1047986,4,2024-01-01,2024-12-31,1978151,, 
40003816250,"Sabiedrība ar ierobežotu atbildību ""DELTA URBAN""",4120,1189818,16,2024-01-01,2024-12-31,2052213,, 
40103475505,CCM ceļubūve Sabiedrība ar ierobežotu atbildību,4211,1316234,6,2024-01-01,2024-12-31,1983760,, 
44103131627,"SIA ""Būvniecības Grupa LV""",4211,1476994,18,2024-01-01,2024-12-31,2034821,, 
44103059132,"SIA ""CEĻINIEKS 2010""",4211,1922236,40,2024-01-01,2024-12-31,2073396,, 
43603019147,"SIA ""DREAMWAY""",4211,1064989,20,2024-01-01,2024-12-31,2018827,, 
40103836501,"SIA ""KF Grupa""",4211,1131884,11,2024-01-01,2024-12-31,2082730,, 
40103350483,"SIA ""LMK ceļi""",4211,1311843,12,2024-01-01,2024-12-31,2086620,, 
54103031261,"SIA ""SORMA""",4211,1393330,26,2023-12-01,2024-11-30,1977499,, 
44103076113,"SIA ""Smiltenes ceļinieks""",4211,1395818,11,2024-01-01,2024-12-31,2014947,, 
54103149141,"SIA ""VALMIERAS CEĻI""",4211,1090222,4,2024-01-01,2024-12-31,1971875,, 
48503008922,SIA BL Grupa,4211,1457277,7,2024-01-01,2024-12-31,2060095,, 
42103099832,SIA BRICON,4211,1302714,14,2024-01-01,2024-12-31,1979830,, 
50203491921,SIA KKL,4211,1338761,9,2024-01-01,2024-12-31,2032696,, 
40003780841,"Sabiedrība ar ierobežotu atbildību ""AB-rent""",4211,1248016,30,2024-01-01,2024-12-31,2043611,, 
40003352219,"Sabiedrība ar ierobežotu atbildību ""Agrosēta""",4211,1159350,15,2024-01-01,2024-12-31,2029956,, 
40103760610,"Sabiedrība ar ierobežotu atbildību ""BTS Road""",4211,1910732,26,2024-01-01,2024-12-31,2068138,, 
40103733468,"Sabiedrība ar ierobežotu atbildību ""Baltijas Ceļdaris""",4211,1288975,16,2024-01-01,2024-12-31,2052975,, 
50103708161,"Sabiedrība ar ierobežotu atbildību ""D Būve""",4211,1386772,22,2024-01-01,2024-12-31,2003708,, 
41503004630,"Sabiedrība ar ierobežotu atbildību ""DAUGAVPILS BŪVMEHANIZĀCIJA""",4211,1634357,30,2024-01-01,2024-12-31,2028118,, 
40103811601,"Sabiedrība ar ierobežotu atbildību ""DSV base""",4211,1307227,25,2024-01-01,2024-12-31,2051209,, 
40203132209,"Sabiedrība ar ierobežotu atbildību ""EuroTrans Plus""",4211,1408647,16,2024-01-01,2024-12-31,2086702,, 
40003901044,"Sabiedrība ar ierobežotu atbildību ""GLUDI LM""",4211,1155341,16,2024-01-01,2024-12-31,1993454,, 
41203054863,"Sabiedrība ar ierobežotu atbildību ""JAUNIE CEĻI""",4211,1560623,41,2024-01-01,2024-12-31,2077259,, 
43401000142,"Sabiedrība ar ierobežotu atbildību ""LIEPAS Z""",4211,1999714,35,2024-01-01,2024-12-31,1972939,, 
40103931859,"Sabiedrība ar ierobežotu atbildību ""LKG Grupa""",4211,1997705,23,2024-01-01,2024-12-31,1978866,, 
42403043306,"Sabiedrība ar ierobežotu atbildību ""Novada ceļi""",4211,1040418,11,2024-01-01,2024-12-31,2069383,, 
40203427037,"Sabiedrība ar ierobežotu atbildību ""ROGO""",4211,1100223,17,2024-01-01,2024-12-31,1957228,, 
42403022766,"Sabiedrība ar ierobežotu atbildību ""Riviera L""",4211,1438026,31,2024-01-01,2024-12-31,2065441,, 
42402001428,"Sabiedrība ar ierobežotu atbildību ""VAIVARS""",4211,1308016,13,2024-01-01,2024-12-31,1966170,, 
40003684202,"Sabiedrība ar ierobežotu atbildību ""VIA MEŽS""",4211,1531666,17,2024-01-01,2024-12-31,2080980,, 
40203257307,SIA Baltijas Būvmeistars,4213,1064198,10,2024-01-01,2024-12-31,2036184,, 
40203224452,Aarsleff Baltic SIA,4221,1134490,5,2023-10-01,2024-09-30,1954353,, 
40103086312,"Ražošanas komercfirma ""MARTS"" Sabiedrība ar ierobežotu atbildību",4221,1889982,19,2024-01-01,2024-12-31,2033774,, 
40103982022,"SIA ""GAS SERVICE""",4221,1931791,22,2024-01-01,2024-12-31,2092994,, 
40003845758,"SIA ""GRUNTERSS""",4221,1356632,19,2024-01-01,2024-12-31,1987557,, 
40103179379,"SIA ""Hydrotech""",4221,1427968,6,2024-01-01,2024-12-31,2048916,, 
48503023940,"SIA ""MIČER GROUP""",4221,1001700,17,2024-01-01,2024-12-31,2009995,, 
40203498237,SIA H2O tīkli,4221,1096130,17,2024-01-01,2024-12-31,2034100,, 
40003686472,"Sabiedrība ar ierobežotu atbildību ""Akorda""",4221,1544288,14,2024-01-01,2024-12-31,2044600,, 
44103067286,"Sabiedrība ar ierobežotu atbildību ""BT BŪVE""",4221,1977705,23,2024-01-01,2024-12-31,2049164,, 
40203281417,"Sabiedrība ar ierobežotu atbildību ""LAKE Building""",4221,1206108,17,2024-01-01,2024-12-31,2047093,, 
40103770888,"Sabiedrība ar ierobežotu atbildību ""SELVILS BŪVE""",4221,1763928,25,2024-01-01,2024-12-31,2064511,, 
40003389118,"Sabiedrība ar ierobežotu atbildību ""SMITE""",4221,1274848,18,2024-01-01,2024-12-31,2047319,, 
43603061977,"Sabiedrība ar ierobežotu atbildību ""Sand Systems""",4221,1142689,46,2024-01-01,2024-12-31,1992296,, 
40103655182,"Sabiedrība ar ierobežotu atbildību ""TGME""",4221,1788185,22,2024-01-01,2024-12-31,2067956,, 
40203410153,"TALPA, SIA",4221,1241470,16,2024-01-01,2024-12-31,1964267,, 
40003484499,"""RELAPRIMS"" SIA",4222,1724498,13,2024-01-01,2024-12-31,1993840,, 
40003291535,"Alūksnes rajona sabiedrība ar ierobežotu atbildību firma ""ALŪKSNES ENERGOCELTNIEKS""",4222,1665763,50,2024-01-01,2024-12-31,2087044,, 
40003124232,M.G.S. IT SIA,4222,1526411,24,2024-01-01,2024-12-31,2065870,, 
45403045751,"Pilnsabiedrība ""ArComm Group""",4222,1463103,1,2024-01-01,2024-12-31,2063775,, 
40003392828,"SIA ""ELDI""",4222,1601983,18,2024-01-01,2024-12-31,2050356,, 
44103065552,"SIA ""Energo Partneris""",4222,1406802,15,2024-01-01,2024-12-31,2076360,, 
40103913548,"SIA ""LEC""",4222,1066498,9,2024-01-01,2024-12-31,2088141,, 
40103261039,"SIA ""RAJS""",4222,1479363,17,2024-01-01,2024-12-31,1994067,, 
44103138428,"SIA ""RNRG""",4222,1927421,15,2024-01-01,2024-12-31,1993603,, 
40203410473,"SIA ""Sunotec Latvia""",4222,1681700,3,2024-01-01,2024-12-31,2027966,, 
50203247851,"SIA ""WolfHouse""",4222,1034970,19,2024-01-01,2024-12-31,1957611,, 
40203384471,SIA GJ4,4222,1519285,2,2024-01-01,2024-12-31,1968330,, 
41503089239,"Sabiedrība ar ierobežotu atbildību ""BGBau""",4222,1617480,33,2024-01-01,2024-12-31,2002863,, 
43603029906,"Sabiedrība ar ierobežotu atbildību ""EDS""",4222,1482270,13,2024-01-01,2024-12-31,2066739,, 
40103784074,"Sabiedrība ar ierobežotu atbildību ""Energoefekt""",4222,1493309,15,2024-01-01,2024-12-31,2075330,, 
40103790210,"Sabiedrība ar ierobežotu atbildību ""KSK Systems""",4222,1453099,31,2024-01-01,2024-12-31,2092557,, 
40003879881,"Sabiedrība ar ierobežotu atbildību ""Primo Baltic""",4222,1385566,13,2024-01-01,2024-12-31,1965939,, 
50003346591,"Sabiedrība ar ierobežotu atbildību ""SAKARU BŪVE""",4222,1364345,23,2024-01-01,2024-12-31,2007797,, 
41203017208,"Sabiedrība ar ierobežotu atbildību ""VESTA AD""",4222,1124001,7,2024-01-01,2024-12-31,2036780,, 
40203306693,Vestas Latvia SIA,4222,1376538,5,2024-01-01,2024-12-31,2080566,, 
49501008077,"""JAUNBĒRZIŅI"" SIA",4291,1633591,10,2024-01-01,2024-12-31,1970321,, 
43603061661,"Sabiedrība ar ierobežotu atbildību ""MLU""",4291,1886510,18,2024-01-01,2024-12-31,2031633,, 
44103045946,"Sabiedrība ar ierobežotu atbildību ""RELKS""",4291,1073992,13,2024-01-01,2024-12-31,2060123,, 
53603017701,"SIA ""JUNEKA MONTĀŽA""",4299,1342728,35,2024-01-01,2024-12-31,2026587,, 
40003677060,"Sabiedrība ar ierobežotu atbildību ""EURO ENERĢIJAS SERVISS""",4299,1406335,13,2024-01-01,2024-12-31,2018215,, 
50003638351,"Sabiedrība ar ierobežotu atbildību ""GUMI MIX GROUP""",4299,1023241,7,2024-01-01,2024-12-31,2040178,, 
41203051301,"Sabiedrība ar ierobežotu atbildību ""LatLine""",4299,1241647,23,2024-01-01,2024-12-31,1961870,, 
40103598161,"Sabiedrība ar ierobežotu atbildību ""SOMU MĀJA""",4299,1867679,6,2024-01-01,2024-12-31,2042967,, 
40203229290,"Sabiedrība ar ierobežotu atbildību ""Sky Power""",4299,1346470,21,2024-01-01,2024-12-31,2021118,, 
44103106776,"Sabiedrība ar ierobežotu atbildību ""ATR""",4311,1995392,19,2024-01-01,2024-12-31,1982033,, 
40103898126,"Sabiedrība ar ierobežotu atbildību ""DEMCO""",4311,1664311,12,2024-01-01,2024-12-31,2018392,, 
40103235360,"Sabiedrība ar ierobežotu atbildību ""DIVIBE""",4311,1026746,9,2024-01-01,2024-12-31,1985625,, 
43603047371,"Sabiedrība ar ierobežotu atbildību ""GS CELT""",4311,1116794,5,2024-01-01,2024-12-31,2085991,, 
44103081684,"""MELIO MASTER"" PS",4312,1183883,2,2024-01-01,2024-12-31,1994584,, 
40203166686,"SIA ""AB digger""",4312,1215639,4,2024-01-01,2024-12-31,2051460,, 
40003981849,"SIA ""AMC būve""",4312,1266060,3,2024-01-01,2024-12-31,2066864,, 
40203449655,"SIA ""AMD Grupa""",4312,1613479,7,2024-01-01,2024-12-31,1968464,, 
54103046731,"SIA ""ROK un BŪVĒ""",4312,1889881,32,2024-01-01,2024-12-31,2075759,, 
40203275425,"SIA ""ZZ STREET""",4312,1412388,16,2024-01-01,2024-12-31,2018667,, 
42403039368,"Sabiedrība ar ierobežotu atbildību ""AROK""",4312,1052174,15,2024-01-01,2024-12-31,2065627,, 
40103519227,"Sabiedrība ar ierobežotu atbildību ""ASFABALT""",4312,1496509,21,2024-01-01,2024-12-31,2038193,, 
40103632279,"Sabiedrība ar ierobežotu atbildību ""AUCES MELIORATORS""",4312,1253930,20,2024-01-01,2024-12-31,2060161,, 
43603008321,"Sabiedrība ar ierobežotu atbildību ""Bauskas meliorācija""",4312,1660204,24,2024-01-01,2024-12-31,1992234,, 
40003183787,"Sabiedrība ar ierobežotu atbildību ""MELIORCELTNIEKS""",4312,1626313,28,2024-01-01,2024-12-31,2072391,, 
40003041566,"Sabiedrība ar ierobežotu atbildību ""SPRĀDZIENS""",4312,1066202,19,2024-01-01,2024-12-31,2022578,, 
